origin_country,q6_b,destination_country,origin_code,origin_region,destination_code,destination_region
Sri Lanka,No,Australia,LKA,South Asia (WB),AUS,East Asia and Pacific (WB)
Sudan,No,Italy,SDN,Sub-Saharan Africa (WB),ITA,Europe and Central Asia (WB)
North Macedonia,No,Germany,MKD,Europe and Central Asia (WB),DEU,Europe and Central Asia (WB)
Russia,No,Germany,RUS,Europe and Central Asia (WB),DEU,Europe and Central Asia (WB)
Russia,No,Germany,RUS,Europe and Central Asia (WB),DEU,Europe and Central Asia (WB)
Nepal,No,Belgium,NPL,South Asia (WB),BEL,Europe and Central Asia (WB)
India,No,Germany,IND,South Asia (WB),DEU,Europe and Central Asia (WB)
Iran,No,Czechia,IRN,"Middle East, North Africa, Afghanistan and Pakistan (WB)",CZE,Europe and Central Asia (WB)
India,No,Poland,IND,South Asia (WB),POL,Europe and Central Asia (WB)
France,No,United Kingdom,FRA,Europe and Central Asia (WB),GBR,Europe and Central Asia (WB)
India,No,Germany,IND,South Asia (WB),DEU,Europe and Central Asia (WB)
United States,No,Canada,USA,North America (WB),CAN,North America (WB)
Italy,No,United States,ITA,Europe and Central Asia (WB),USA,North America (WB)
Mexico,No,United States,MEX,Latin America and Caribbean (WB),USA,North America (WB)
Nigeria,No,United States,NGA,Sub-Saharan Africa (WB),USA,North America (WB)
Nigeria,No,South Africa,NGA,Sub-Saharan Africa (WB),ZAF,Sub-Saharan Africa (WB)
Brazil,No,United Kingdom,BRA,Latin America and Caribbean (WB),GBR,Europe and Central Asia (WB)
Nigeria,No,Uganda,NGA,Sub-Saharan Africa (WB),UGA,Sub-Saharan Africa (WB)
Thailand,No,India,THA,East Asia and Pacific (WB),IND,South Asia (WB)
Montenegro,No,Japan,MNE,Europe and Central Asia (WB),JPN,East Asia and Pacific (WB)
Germany,No,Belgium,DEU,Europe and Central Asia (WB),BEL,Europe and Central Asia (WB)
Mexico,No,Germany,MEX,Latin America and Caribbean (WB),DEU,Europe and Central Asia (WB)
Indonesia,No,Netherlands,IDN,East Asia and Pacific (WB),NLD,Europe and Central Asia (WB)
Italy,No,Germany,ITA,Europe and Central Asia (WB),DEU,Europe and Central Asia (WB)
Ecuador,No,United States,ECU,Latin America and Caribbean (WB),USA,North America (WB)
Canada,No,Switzerland,CAN,North America (WB),CHE,Europe and Central Asia (WB)
New Zealand,No,Ireland,NZL,East Asia and Pacific (WB),IRL,Europe and Central Asia (WB)
Tanzania,No,China,TZA,Sub-Saharan Africa (WB),CHN,East Asia and Pacific (WB)
United Kingdom,No,Switzerland,GBR,Europe and Central Asia (WB),CHE,Europe and Central Asia (WB)
Poland,No,Netherlands,POL,Europe and Central Asia (WB),NLD,Europe and Central Asia (WB)
Tanzania,No,Norway,TZA,Sub-Saharan Africa (WB),NOR,Europe and Central Asia (WB)
Zimbabwe,No,South Africa,ZWE,Sub-Saharan Africa (WB),ZAF,Sub-Saharan Africa (WB)
Pakistan,No,Australia,PAK,"Middle East, North Africa, Afghanistan and Pakistan (WB)",AUS,East Asia and Pacific (WB)
Nigeria,No,New Zealand,NGA,Sub-Saharan Africa (WB),NZL,East Asia and Pacific (WB)
Myanmar,No,South Korea,MMR,East Asia and Pacific (WB),KOR,East Asia and Pacific (WB)
Canada,No,Netherlands,CAN,North America (WB),NLD,Europe and Central Asia (WB)
India,No,Poland,IND,South Asia (WB),POL,Europe and Central Asia (WB)
Austria,No,United States,AUT,Europe and Central Asia (WB),USA,North America (WB)
Bangladesh,No,Australia,BGD,South Asia (WB),AUS,East Asia and Pacific (WB)
Portugal,No,Sweden,PRT,Europe and Central Asia (WB),SWE,Europe and Central Asia (WB)
Germany,No,Austria,DEU,Europe and Central Asia (WB),AUT,Europe and Central Asia (WB)
Italy,No,Spain,ITA,Europe and Central Asia (WB),ESP,Europe and Central Asia (WB)
China,No,Germany,CHN,East Asia and Pacific (WB),DEU,Europe and Central Asia (WB)
Germany,No,Czechia,DEU,Europe and Central Asia (WB),CZE,Europe and Central Asia (WB)
Belgium,No,United Kingdom,BEL,Europe and Central Asia (WB),GBR,Europe and Central Asia (WB)
Italy,No,Germany,ITA,Europe and Central Asia (WB),DEU,Europe and Central Asia (WB)
France,No,Italy,FRA,Europe and Central Asia (WB),ITA,Europe and Central Asia (WB)
Ireland,No,Germany,IRL,Europe and Central Asia (WB),DEU,Europe and Central Asia (WB)
Mexico,No,Germany,MEX,Latin America and Caribbean (WB),DEU,Europe and Central Asia (WB)
Germany,No,United Kingdom,DEU,Europe and Central Asia (WB),GBR,Europe and Central Asia (WB)
India,No,United States,IND,South Asia (WB),USA,North America (WB)
Indonesia,No,Poland,IDN,East Asia and Pacific (WB),POL,Europe and Central Asia (WB)
India,No,Poland,IND,South Asia (WB),POL,Europe and Central Asia (WB)
India,No,United States,IND,South Asia (WB),USA,North America (WB)
France,No,United Kingdom,FRA,Europe and Central Asia (WB),GBR,Europe and Central Asia (WB)
Mongolia,No,Hungary,MNG,East Asia and Pacific (WB),HUN,Europe and Central Asia (WB)
France,No,Canada,FRA,Europe and Central Asia (WB),CAN,North America (WB)
Spain,No,United States,ESP,Europe and Central Asia (WB),USA,North America (WB)
Nigeria,No,Malaysia,NGA,Sub-Saharan Africa (WB),MYS,East Asia and Pacific (WB)
United Kingdom,No,United States,GBR,Europe and Central Asia (WB),USA,North America (WB)
Russia,No,Saudi Arabia,RUS,Europe and Central Asia (WB),SAU,"Middle East, North Africa, Afghanistan and Pakistan (WB)"
India,No,United States,IND,South Asia (WB),USA,North America (WB)
Saudi Arabia,No,Saudi Arabia,SAU,"Middle East, North Africa, Afghanistan and Pakistan (WB)",SAU,"Middle East, North Africa, Afghanistan and Pakistan (WB)"
Nepal,No,United Kingdom,NPL,South Asia (WB),GBR,Europe and Central Asia (WB)
Burundi,No,India,BDI,Sub-Saharan Africa (WB),IND,South Asia (WB)
China,No,Belgium,CHN,East Asia and Pacific (WB),BEL,Europe and Central Asia (WB)
Pakistan,No,Spain,PAK,"Middle East, North Africa, Afghanistan and Pakistan (WB)",ESP,Europe and Central Asia (WB)
Zambia,No,France,ZMB,Sub-Saharan Africa (WB),FRA,Europe and Central Asia (WB)
Nigeria,No,United States,NGA,Sub-Saharan Africa (WB),USA,North America (WB)
Taiwan,No,United States,TWN,East Asia and Pacific (WB),USA,North America (WB)
Cameroon,No,Nigeria,CMR,Sub-Saharan Africa (WB),NGA,Sub-Saharan Africa (WB)
Nigeria,No,United States,NGA,Sub-Saharan Africa (WB),USA,North America (WB)
Germany,No,Switzerland,DEU,Europe and Central Asia (WB),CHE,Europe and Central Asia (WB)
Portugal,No,Belgium,PRT,Europe and Central Asia (WB),BEL,Europe and Central Asia (WB)
Pakistan,No,China,PAK,"Middle East, North Africa, Afghanistan and Pakistan (WB)",CHN,East Asia and Pacific (WB)
United States,No,Israel,USA,North America (WB),ISR,"Middle East, North Africa, Afghanistan and Pakistan (WB)"
New Zealand,No,Australia,NZL,East Asia and Pacific (WB),AUS,East Asia and Pacific (WB)
Ecuador,No,Spain,ECU,Latin America and Caribbean (WB),ESP,Europe and Central Asia (WB)
Nigeria,No,Taiwan,NGA,Sub-Saharan Africa (WB),TWN,East Asia and Pacific (WB)
China,No,United States,CHN,East Asia and Pacific (WB),USA,North America (WB)
Chile,No,United Kingdom,CHL,Latin America and Caribbean (WB),GBR,Europe and Central Asia (WB)
Slovakia,No,Switzerland,SVK,Europe and Central Asia (WB),CHE,Europe and Central Asia (WB)
Taiwan,No,United States,TWN,East Asia and Pacific (WB),USA,North America (WB)
Zimbabwe,No,South Africa,ZWE,Sub-Saharan Africa (WB),ZAF,Sub-Saharan Africa (WB)
Ethiopia,No,China,ETH,Sub-Saharan Africa (WB),CHN,East Asia and Pacific (WB)
Jordan,No,Germany,JOR,"Middle East, North Africa, Afghanistan and Pakistan (WB)",DEU,Europe and Central Asia (WB)
Nigeria,No,United States,NGA,Sub-Saharan Africa (WB),USA,North America (WB)
Belarus,No,Germany,BLR,Europe and Central Asia (WB),DEU,Europe and Central Asia (WB)
United States,No,Canada,USA,North America (WB),CAN,North America (WB)
France,No,Canada,FRA,Europe and Central Asia (WB),CAN,North America (WB)
Nigeria,No,Japan,NGA,Sub-Saharan Africa (WB),JPN,East Asia and Pacific (WB)
China,No,Canada,CHN,East Asia and Pacific (WB),CAN,North America (WB)
Indonesia,No,Australia,IDN,East Asia and Pacific (WB),AUS,East Asia and Pacific (WB)
Russia,No,Greece,RUS,Europe and Central Asia (WB),GRC,Europe and Central Asia (WB)
India,No,Germany,IND,South Asia (WB),DEU,Europe and Central Asia (WB)
China,No,Japan,CHN,East Asia and Pacific (WB),JPN,East Asia and Pacific (WB)
Uganda,No,Belgium,UGA,Sub-Saharan Africa (WB),BEL,Europe and Central Asia (WB)
Poland,No,United States,POL,Europe and Central Asia (WB),USA,North America (WB)
Singapore,No,United States,SGP,East Asia and Pacific (WB),USA,North America (WB)
Ethiopia,No,South Korea,ETH,Sub-Saharan Africa (WB),KOR,East Asia and Pacific (WB)
Italy,No,Denmark,ITA,Europe and Central Asia (WB),DNK,Europe and Central Asia (WB)
South Korea,No,France,KOR,East Asia and Pacific (WB),FRA,Europe and Central Asia (WB)
Italy,No,Australia,ITA,Europe and Central Asia (WB),AUS,East Asia and Pacific (WB)
Nigeria,No,United States,NGA,Sub-Saharan Africa (WB),USA,North America (WB)
United Kingdom,No,Netherlands,GBR,Europe and Central Asia (WB),NLD,Europe and Central Asia (WB)
Botswana,No,Thailand,BWA,Sub-Saharan Africa (WB),THA,East Asia and Pacific (WB)
Greece,No,United States,GRC,Europe and Central Asia (WB),USA,North America (WB)
India,No,United States,IND,South Asia (WB),USA,North America (WB)
Belgium,No,Norway,BEL,Europe and Central Asia (WB),NOR,Europe and Central Asia (WB)
Sri Lanka,No,United States,LKA,South Asia (WB),USA,North America (WB)
Colombia,No,United Kingdom,COL,Latin America and Caribbean (WB),GBR,Europe and Central Asia (WB)
Chile,No,Finland,CHL,Latin America and Caribbean (WB),FIN,Europe and Central Asia (WB)
United Kingdom,No,China,GBR,Europe and Central Asia (WB),CHN,East Asia and Pacific (WB)
Iran,No,Australia,IRN,"Middle East, North Africa, Afghanistan and Pakistan (WB)",AUS,East Asia and Pacific (WB)
China,No,Australia,CHN,East Asia and Pacific (WB),AUS,East Asia and Pacific (WB)
India,No,Sweden,IND,South Asia (WB),SWE,Europe and Central Asia (WB)
Sri Lanka,No,Sweden,LKA,South Asia (WB),SWE,Europe and Central Asia (WB)
Nigeria,No,Brazil,NGA,Sub-Saharan Africa (WB),BRA,Latin America and Caribbean (WB)
India,No,Israel,IND,South Asia (WB),ISR,"Middle East, North Africa, Afghanistan and Pakistan (WB)"
Russia,No,Germany,RUS,Europe and Central Asia (WB),DEU,Europe and Central Asia (WB)
Israel,No,Spain,ISR,"Middle East, North Africa, Afghanistan and Pakistan (WB)",ESP,Europe and Central Asia (WB)
Nepal,No,United States,NPL,South Asia (WB),USA,North America (WB)
China,No,United States,CHN,East Asia and Pacific (WB),USA,North America (WB)
India,No,Germany,IND,South Asia (WB),DEU,Europe and Central Asia (WB)
Austria,No,Norway,AUT,Europe and Central Asia (WB),NOR,Europe and Central Asia (WB)
India,No,United States,IND,South Asia (WB),USA,North America (WB)
China,No,Japan,CHN,East Asia and Pacific (WB),JPN,East Asia and Pacific (WB)
India,No,United Arab Emirates,IND,South Asia (WB),ARE,"Middle East, North Africa, Afghanistan and Pakistan (WB)"
United States,No,United Kingdom,USA,North America (WB),GBR,Europe and Central Asia (WB)
Iran,No,Japan,IRN,"Middle East, North Africa, Afghanistan and Pakistan (WB)",JPN,East Asia and Pacific (WB)
Nepal,No,United States,NPL,South Asia (WB),USA,North America (WB)
Lesotho,No,South Africa,LSO,Sub-Saharan Africa (WB),ZAF,Sub-Saharan Africa (WB)
China,No,United States,CHN,East Asia and Pacific (WB),USA,North America (WB)
Mauritius,No,United States,MUS,Sub-Saharan Africa (WB),USA,North America (WB)
Pakistan,No,Italy,PAK,"Middle East, North Africa, Afghanistan and Pakistan (WB)",ITA,Europe and Central Asia (WB)
Brazil,No,United States,BRA,Latin America and Caribbean (WB),USA,North America (WB)
Guatemala,No,Brazil,GTM,Latin America and Caribbean (WB),BRA,Latin America and Caribbean (WB)
Cameroon,No,South Africa,CMR,Sub-Saharan Africa (WB),ZAF,Sub-Saharan Africa (WB)
Iran,No,United States,IRN,"Middle East, North Africa, Afghanistan and Pakistan (WB)",USA,North America (WB)
Colombia,No,Chile,COL,Latin America and Caribbean (WB),CHL,Latin America and Caribbean (WB)
Malawi,No,Germany,MWI,Sub-Saharan Africa (WB),DEU,Europe and Central Asia (WB)
Mozambique,No,Spain,MOZ,Sub-Saharan Africa (WB),ESP,Europe and Central Asia (WB)
Italy,No,Germany,ITA,Europe and Central Asia (WB),DEU,Europe and Central Asia (WB)
Ethiopia,No,Australia,ETH,Sub-Saharan Africa (WB),AUS,East Asia and Pacific (WB)
Poland,No,United States,POL,Europe and Central Asia (WB),USA,North America (WB)
Australia,No,Spain,AUS,East Asia and Pacific (WB),ESP,Europe and Central Asia (WB)
Ghana,No,Ghana,GHA,Sub-Saharan Africa (WB),GHA,Sub-Saharan Africa (WB)
Indonesia,No,South Korea,IDN,East Asia and Pacific (WB),KOR,East Asia and Pacific (WB)
Rwanda,No,China,RWA,Sub-Saharan Africa (WB),CHN,East Asia and Pacific (WB)
Mexico,No,Germany,MEX,Latin America and Caribbean (WB),DEU,Europe and Central Asia (WB)
China,No,Australia,CHN,East Asia and Pacific (WB),AUS,East Asia and Pacific (WB)
Democratic Republic of Congo,No,Japan,COD,Sub-Saharan Africa (WB),JPN,East Asia and Pacific (WB)
Malawi,No,China,MWI,Sub-Saharan Africa (WB),CHN,East Asia and Pacific (WB)
United Kingdom,No,Spain,GBR,Europe and Central Asia (WB),ESP,Europe and Central Asia (WB)
Bangladesh,No,China,BGD,South Asia (WB),CHN,East Asia and Pacific (WB)
China,No,Malaysia,CHN,East Asia and Pacific (WB),MYS,East Asia and Pacific (WB)
United States,No,New Zealand,USA,North America (WB),NZL,East Asia and Pacific (WB)
Iran,No,United States,IRN,"Middle East, North Africa, Afghanistan and Pakistan (WB)",USA,North America (WB)
Ethiopia,No,India,ETH,Sub-Saharan Africa (WB),IND,South Asia (WB)
Mozambique,No,Portugal,MOZ,Sub-Saharan Africa (WB),PRT,Europe and Central Asia (WB)
Ethiopia,No,China,ETH,Sub-Saharan Africa (WB),CHN,East Asia and Pacific (WB)
Canada,No,Australia,CAN,North America (WB),AUS,East Asia and Pacific (WB)
France,No,Canada,FRA,Europe and Central Asia (WB),CAN,North America (WB)
Bolivia,No,Chile,BOL,Latin America and Caribbean (WB),CHL,Latin America and Caribbean (WB)
Pakistan,No,Finland,PAK,"Middle East, North Africa, Afghanistan and Pakistan (WB)",FIN,Europe and Central Asia (WB)
Germany,No,Belgium,DEU,Europe and Central Asia (WB),BEL,Europe and Central Asia (WB)
Egypt,No,Belgium,EGY,"Middle East, North Africa, Afghanistan and Pakistan (WB)",BEL,Europe and Central Asia (WB)
Colombia,No,United States,COL,Latin America and Caribbean (WB),USA,North America (WB)
Ethiopia,No,Spain,ETH,Sub-Saharan Africa (WB),ESP,Europe and Central Asia (WB)
Zambia,No,South Africa,ZMB,Sub-Saharan Africa (WB),ZAF,Sub-Saharan Africa (WB)
Ghana,No,United States,GHA,Sub-Saharan Africa (WB),USA,North America (WB)
India,No,Australia,IND,South Asia (WB),AUS,East Asia and Pacific (WB)
Poland,No,United Kingdom,POL,Europe and Central Asia (WB),GBR,Europe and Central Asia (WB)
Nigeria,No,Australia,NGA,Sub-Saharan Africa (WB),AUS,East Asia and Pacific (WB)
Germany,No,Australia,DEU,Europe and Central Asia (WB),AUS,East Asia and Pacific (WB)
Nigeria,No,Kenya,NGA,Sub-Saharan Africa (WB),KEN,Sub-Saharan Africa (WB)
Russia,No,Netherlands,RUS,Europe and Central Asia (WB),NLD,Europe and Central Asia (WB)
India,No,United Kingdom,IND,South Asia (WB),GBR,Europe and Central Asia (WB)
Syria,No,India,SYR,"Middle East, North Africa, Afghanistan and Pakistan (WB)",IND,South Asia (WB)
France,No,Ireland,FRA,Europe and Central Asia (WB),IRL,Europe and Central Asia (WB)
Switzerland,No,United States,CHE,Europe and Central Asia (WB),USA,North America (WB)
Pakistan,No,China,PAK,"Middle East, North Africa, Afghanistan and Pakistan (WB)",CHN,East Asia and Pacific (WB)
Nepal,No,United Kingdom,NPL,South Asia (WB),GBR,Europe and Central Asia (WB)
India,No,Poland,IND,South Asia (WB),POL,Europe and Central Asia (WB)
China,No,United States,CHN,East Asia and Pacific (WB),USA,North America (WB)
Philippines,No,United States,PHL,East Asia and Pacific (WB),USA,North America (WB)
China,No,China,CHN,East Asia and Pacific (WB),CHN,East Asia and Pacific (WB)
South Africa,No,United Kingdom,ZAF,Sub-Saharan Africa (WB),GBR,Europe and Central Asia (WB)
Brazil,No,United States,BRA,Latin America and Caribbean (WB),USA,North America (WB)
Indonesia,No,Saudi Arabia,IDN,East Asia and Pacific (WB),SAU,"Middle East, North Africa, Afghanistan and Pakistan (WB)"
Slovenia,No,United States,SVN,Europe and Central Asia (WB),USA,North America (WB)
Colombia,No,Spain,COL,Latin America and Caribbean (WB),ESP,Europe and Central Asia (WB)
New Zealand,No,Netherlands,NZL,East Asia and Pacific (WB),NLD,Europe and Central Asia (WB)
Denmark,No,Sweden,DNK,Europe and Central Asia (WB),SWE,Europe and Central Asia (WB)
India,No,Netherlands,IND,South Asia (WB),NLD,Europe and Central Asia (WB)
China,No,Malaysia,CHN,East Asia and Pacific (WB),MYS,East Asia and Pacific (WB)
Uzbekistan,No,South Korea,UZB,Europe and Central Asia (WB),KOR,East Asia and Pacific (WB)
Iraq,No,United States,IRQ,"Middle East, North Africa, Afghanistan and Pakistan (WB)",USA,North America (WB)
Ireland,No,United Kingdom,IRL,Europe and Central Asia (WB),GBR,Europe and Central Asia (WB)
Netherlands,No,Italy,NLD,Europe and Central Asia (WB),ITA,Europe and Central Asia (WB)
Turkey,No,United States,TUR,Europe and Central Asia (WB),USA,North America (WB)
Chile,No,Germany,CHL,Latin America and Caribbean (WB),DEU,Europe and Central Asia (WB)
Bangladesh,No,United States,BGD,South Asia (WB),USA,North America (WB)
Nigeria,No,Thailand,NGA,Sub-Saharan Africa (WB),THA,East Asia and Pacific (WB)
China,No,France,CHN,East Asia and Pacific (WB),FRA,Europe and Central Asia (WB)
Colombia,No,Germany,COL,Latin America and Caribbean (WB),DEU,Europe and Central Asia (WB)
France,No,Portugal,FRA,Europe and Central Asia (WB),PRT,Europe and Central Asia (WB)
Colombia,No,Spain,COL,Latin America and Caribbean (WB),ESP,Europe and Central Asia (WB)
China,No,United States,CHN,East Asia and Pacific (WB),USA,North America (WB)
United States,No,United States,USA,North America (WB),USA,North America (WB)
Serbia,No,Netherlands,SRB,Europe and Central Asia (WB),NLD,Europe and Central Asia (WB)
India,No,United States,IND,South Asia (WB),USA,North America (WB)
China,No,United States,CHN,East Asia and Pacific (WB),USA,North America (WB)
Colombia,No,Spain,COL,Latin America and Caribbean (WB),ESP,Europe and Central Asia (WB)
South Korea,No,Germany,KOR,East Asia and Pacific (WB),DEU,Europe and Central Asia (WB)
India,No,Japan,IND,South Asia (WB),JPN,East Asia and Pacific (WB)
Romania,No,Netherlands,ROU,Europe and Central Asia (WB),NLD,Europe and Central Asia (WB)
United Kingdom,No,Germany,GBR,Europe and Central Asia (WB),DEU,Europe and Central Asia (WB)
Turkey,No,Italy,TUR,Europe and Central Asia (WB),ITA,Europe and Central Asia (WB)
Germany,No,Portugal,DEU,Europe and Central Asia (WB),PRT,Europe and Central Asia (WB)
Indonesia,No,Japan,IDN,East Asia and Pacific (WB),JPN,East Asia and Pacific (WB)
India,No,United States,IND,South Asia (WB),USA,North America (WB)
United Kingdom,No,Australia,GBR,Europe and Central Asia (WB),AUS,East Asia and Pacific (WB)
Ghana,No,Poland,GHA,Sub-Saharan Africa (WB),POL,Europe and Central Asia (WB)
India,No,Czechia,IND,South Asia (WB),CZE,Europe and Central Asia (WB)
Romania,No,Sweden,ROU,Europe and Central Asia (WB),SWE,Europe and Central Asia (WB)
Ethiopia,No,Italy,ETH,Sub-Saharan Africa (WB),ITA,Europe and Central Asia (WB)
Pakistan,No,China,PAK,"Middle East, North Africa, Afghanistan and Pakistan (WB)",CHN,East Asia and Pacific (WB)
Serbia,No,Netherlands,SRB,Europe and Central Asia (WB),NLD,Europe and Central Asia (WB)
Canada,No,United States,CAN,North America (WB),USA,North America (WB)
Italy,No,United States,ITA,Europe and Central Asia (WB),USA,North America (WB)
Germany,No,United States,DEU,Europe and Central Asia (WB),USA,North America (WB)
Italy,No,Germany,ITA,Europe and Central Asia (WB),DEU,Europe and Central Asia (WB)
Nigeria,No,United States,NGA,Sub-Saharan Africa (WB),USA,North America (WB)
Iraq,No,United Kingdom,IRQ,"Middle East, North Africa, Afghanistan and Pakistan (WB)",GBR,Europe and Central Asia (WB)
Portugal,No,Sweden,PRT,Europe and Central Asia (WB),SWE,Europe and Central Asia (WB)
Indonesia,No,Saudi Arabia,IDN,East Asia and Pacific (WB),SAU,"Middle East, North Africa, Afghanistan and Pakistan (WB)"
China,No,Ireland,CHN,East Asia and Pacific (WB),IRL,Europe and Central Asia (WB)
Ethiopia,No,China,ETH,Sub-Saharan Africa (WB),CHN,East Asia and Pacific (WB)
United States,No,Australia,USA,North America (WB),AUS,East Asia and Pacific (WB)
Serbia,No,Netherlands,SRB,Europe and Central Asia (WB),NLD,Europe and Central Asia (WB)
Pakistan,No,Finland,PAK,"Middle East, North Africa, Afghanistan and Pakistan (WB)",FIN,Europe and Central Asia (WB)
United Kingdom,No,Germany,GBR,Europe and Central Asia (WB),DEU,Europe and Central Asia (WB)
United States,No,Germany,USA,North America (WB),DEU,Europe and Central Asia (WB)
Indonesia,No,Austria,IDN,East Asia and Pacific (WB),AUT,Europe and Central Asia (WB)
Belize,No,United States,BLZ,Latin America and Caribbean (WB),USA,North America (WB)
Bosnia and Herzegovina,No,Serbia,BIH,Europe and Central Asia (WB),SRB,Europe and Central Asia (WB)
Turkey,No,United Kingdom,TUR,Europe and Central Asia (WB),GBR,Europe and Central Asia (WB)
Egypt,No,China,EGY,"Middle East, North Africa, Afghanistan and Pakistan (WB)",CHN,East Asia and Pacific (WB)
India,No,United States,IND,South Asia (WB),USA,North America (WB)
United Kingdom,No,Ireland,GBR,Europe and Central Asia (WB),IRL,Europe and Central Asia (WB)
India,No,United States,IND,South Asia (WB),USA,North America (WB)
United States,No,Spain,USA,North America (WB),ESP,Europe and Central Asia (WB)
India,No,United States,IND,South Asia (WB),USA,North America (WB)
Finland,No,Sweden,FIN,Europe and Central Asia (WB),SWE,Europe and Central Asia (WB)
Algeria,No,France,DZA,"Middle East, North Africa, Afghanistan and Pakistan (WB)",FRA,Europe and Central Asia (WB)
Chile,No,Spain,CHL,Latin America and Caribbean (WB),ESP,Europe and Central Asia (WB)
India,No,Malaysia,IND,South Asia (WB),MYS,East Asia and Pacific (WB)
Ghana,No,China,GHA,Sub-Saharan Africa (WB),CHN,East Asia and Pacific (WB)
Argentina,No,Brazil,ARG,Latin America and Caribbean (WB),BRA,Latin America and Caribbean (WB)
Nepal,No,United Kingdom,NPL,South Asia (WB),GBR,Europe and Central Asia (WB)
India,No,Czechia,IND,South Asia (WB),CZE,Europe and Central Asia (WB)
Turkey,No,United States,TUR,Europe and Central Asia (WB),USA,North America (WB)
Bangladesh,No,Thailand,BGD,South Asia (WB),THA,East Asia and Pacific (WB)
Hungary,No,Hungary,HUN,Europe and Central Asia (WB),HUN,Europe and Central Asia (WB)
India,No,United States,IND,South Asia (WB),USA,North America (WB)
Bangladesh,No,Canada,BGD,South Asia (WB),CAN,North America (WB)
Canada,No,Switzerland,CAN,North America (WB),CHE,Europe and Central Asia (WB)
Democratic Republic of Congo,No,Burkina Faso,COD,Sub-Saharan Africa (WB),BFA,Sub-Saharan Africa (WB)
Nigeria,No,South Africa,NGA,Sub-Saharan Africa (WB),ZAF,Sub-Saharan Africa (WB)
Thailand,No,Germany,THA,East Asia and Pacific (WB),DEU,Europe and Central Asia (WB)
Mexico,No,United States,MEX,Latin America and Caribbean (WB),USA,North America (WB)
Chile,No,Spain,CHL,Latin America and Caribbean (WB),ESP,Europe and Central Asia (WB)
Italy,No,United States,ITA,Europe and Central Asia (WB),USA,North America (WB)
China,No,Singapore,CHN,East Asia and Pacific (WB),SGP,East Asia and Pacific (WB)
Mexico,No,Spain,MEX,Latin America and Caribbean (WB),ESP,Europe and Central Asia (WB)
Brazil,No,Spain,BRA,Latin America and Caribbean (WB),ESP,Europe and Central Asia (WB)
Kenya,No,United States,KEN,Sub-Saharan Africa (WB),USA,North America (WB)
India,No,Netherlands,IND,South Asia (WB),NLD,Europe and Central Asia (WB)
Ireland,No,United Kingdom,IRL,Europe and Central Asia (WB),GBR,Europe and Central Asia (WB)
Ethiopia,No,India,ETH,Sub-Saharan Africa (WB),IND,South Asia (WB)
Nepal,No,United States,NPL,South Asia (WB),USA,North America (WB)
Italy,No,United Kingdom,ITA,Europe and Central Asia (WB),GBR,Europe and Central Asia (WB)
Canada,No,United Kingdom,CAN,North America (WB),GBR,Europe and Central Asia (WB)
Belgium,No,Germany,BEL,Europe and Central Asia (WB),DEU,Europe and Central Asia (WB)
Uruguay,No,Brazil,URY,Latin America and Caribbean (WB),BRA,Latin America and Caribbean (WB)
India,No,France,IND,South Asia (WB),FRA,Europe and Central Asia (WB)
United States,No,New Zealand,USA,North America (WB),NZL,East Asia and Pacific (WB)
China,No,Netherlands,CHN,East Asia and Pacific (WB),NLD,Europe and Central Asia (WB)
India,No,Germany,IND,South Asia (WB),DEU,Europe and Central Asia (WB)
Germany,No,United Kingdom,DEU,Europe and Central Asia (WB),GBR,Europe and Central Asia (WB)
Ethiopia,No,China,ETH,Sub-Saharan Africa (WB),CHN,East Asia and Pacific (WB)
Bangladesh,No,United States,BGD,South Asia (WB),USA,North America (WB)
Nigeria,No,Ireland,NGA,Sub-Saharan Africa (WB),IRL,Europe and Central Asia (WB)
South Sudan,No,Uganda,SSD,Sub-Saharan Africa (WB),UGA,Sub-Saharan Africa (WB)
Brazil,No,Portugal,BRA,Latin America and Caribbean (WB),PRT,Europe and Central Asia (WB)
Ethiopia,No,United Kingdom,ETH,Sub-Saharan Africa (WB),GBR,Europe and Central Asia (WB)
Zambia,No,South Africa,ZMB,Sub-Saharan Africa (WB),ZAF,Sub-Saharan Africa (WB)
Ireland,No,United Kingdom,IRL,Europe and Central Asia (WB),GBR,Europe and Central Asia (WB)
Germany,No,Sweden,DEU,Europe and Central Asia (WB),SWE,Europe and Central Asia (WB)
